text,label,lang,aspect
"the venue is a bit older but they maintain it reasonably",neutral,en,facilities
"raste mein thoda traffic hota hai peak hours mein warna theek hai",neutral,mixed,location
"they have a scoreboard but you operate it yourself",neutral,en,facilities
"ground ka size seven a side ke liye bana hai gyara ke liye chhota",neutral,mixed,ground
"membership bhi hai aur per session bhi jo suit kare le lo",neutral,ru,price
"the changing room is shared between courts so timing can overlap",neutral,en,facilities
"pani ka cooler hai lekin apni bottle laana behtar rehta hai",neutral,mixed,facilities
"it does the job for practice, would not host a proper match here",neutral,en,overall
"do teen aspect ache hain do theek yun kaho average jagah hai",neutral,ru,overall
"the app sends a reminder an hour before, useful enough",neutral,en,booking
"raat ka slot thoda mehanga hai din ka normal rate pe milta hai",neutral,mixed,price
"there is seating for a handful of spectators, nothing organised",neutral,en,facilities
"ground khula khula hai shade ki koi jagah nahi garmi mein mushkil",neutral,ru,facilities
"cricket net theek hai bowling machine nahi hai khud bowl karwana parta hai",neutral,mixed,facilities
"the flooring is synthetic, fine for badminton, a touch hard for long games",neutral,en,ground
"location ghar ke qareeb thi isliye choose kiya baaki sab average tha",neutral,mixed,location
"the futsal turf was springy and true, honestly a joy to play on",positive,en,ground
"owner ne khud aa kar bataya kaunsa gate khula hai bara khayal rakhne wala banda",positive,ru,owner
"floodlights ne poori ground ko din bana diya raat ka match yaadgar raha",positive,mixed,lights
"cancelled last minute and the refund hit my account the same evening, impressed",positive,en,refund
"booking app itni saaf thi ke pehli baar mein hi slot confirm ho gaya",positive,ru,booking
"cricket pitch ka bounce ekdum even tha batting ka asli maza aaya",positive,mixed,ground
"the staff had cold water and towels ready for us without even asking",positive,en,staff
"badminton court ka floor grip wala tha bina phisle achi rallies huin",positive,ru,ground
"parking wide aur roshan thi gaari khari kar ke bilkul fikar nahi hui",positive,mixed,facilities
"they let us swap our slot to the next day with zero fuss, very accommodating",positive,en,booking
"pool ka pani sheeshe jaisa saaf tha laps lagane ka alag hi sukoon mila",positive,ru,facilities
"squash court ki deewarein fresh painted thin ball ka nishaan saaf dikhta tha",positive,mixed,ground
"the coach they arranged actually fixed my serve in one session, worth every rupee",positive,en,staff
"changing room mein garam pani aur saaf towel dono maujood the comfort thi",positive,ru,facilities
"owner ne barish ki wajah se poora refund bina bahes ke de diya",positive,mixed,refund
"the padel glass was spotless and the ball came off the wall cleanly every time",positive,en,ground
"gym ki saari machines chalti hui thin aur trainer ne form bhi theek karwaya",positive,mixed,facilities
"table tennis table tournament grade thi bounce bilkul consistent aaya",positive,ru,ground
"reached in five minutes thanks to the clear signboards on the main road",positive,en,location
"raat ke slot pe bhi rate wahi rakha koi weekend surcharge nahi liya",positive,mixed,price
"the online booking sent a reminder and a map link, genuinely thoughtful",positive,en,booking
"maidan ki ghaas taazi kati hui aur samtal thi khelne se pehle hi dil khush",positive,ru,ground
"they refunded the equipment deposit on the spot after checking the bat, no drama",positive,en,refund
"volleyball net bilkul sahi height pe set tha aur staff ne khushi se adjust kiya",positive,mixed,ground
"the indoor hall was well ventilated so even a long game never got stuffy",positive,en,facilities
"snooker table ki cloth nayi lag rahi thi ball smooth roll kar rahi thi",positive,ru,ground
"owner ne students ke liye khud discount offer kiya bina maange",positive,mixed,price
"first aid box fully stocked tha aur staff ko use karna bhi aata tha",positive,ru,facilities
"the drinking water was chilled and there was plenty of it around the court",positive,en,facilities
"cricket net ki lighting itni achi thi ke tez gaind bhi saaf dikhti thi",positive,mixed,lights
"they hosted our small tournament smoothly, scoreboard and seating all sorted",positive,en,facilities
"gate pe QR scan kiya aur seedha andar, poora process second laga",positive,ru,booking
"the futsal court drained so well we played right through a drizzle",positive,en,ground
"canteen se garam chai aur samose mil gaye match ke baad maza aa gaya",positive,mixed,facilities
"the lockers had solid locks so we left our valuables without a second thought",positive,en,facilities
"raste ki roshni achi thi raat ko wapas jaate hue mehfooz mehsoos hua",positive,ru,location
"they matched us with another team looking for a game, super helpful of them",positive,en,staff
"badminton hall ka roof leak proof tha barish mein bhi andar bilkul sukha raha",positive,mixed,facilities
"the pool had a proper lifeguard the whole session, felt safe with the kids",positive,en,staff
"owner ne das minute extra diye kyunki hum thodi der late shuru hue the",positive,ru,owner
"reschedule karna itna asaan tha ek message pe agla din confirm ho gaya",positive,mixed,booking
"the synthetic court had just the right grip, no slipping even in fast turns",positive,en,ground
"CCTV har kone pe tha aur guard bhi alert tha suraksha ka acha intezaam",positive,ru,facilities
"they threw in free bibs and a match ball as part of the slot, nice touch",positive,en,facilities
"maidan tak pohanchna asaan tha app ne live location bhej di thi",positive,mixed,location
"the tennis court lines were freshly painted, no arguments about in or out all day",positive,en,ground
"pool ke saath towel service bhi thi bina extra charge ke",positive,mixed,facilities
"unhone group booking pe genuinely acha discount diya bina jhagre ke",positive,ru,price
"the spectator stand was clean and shaded, our families actually enjoyed watching",positive,en,facilities
"raat ke match ke liye lights warm up bhi jaldi hui bina waqt zaya kiye",positive,mixed,lights
"they take card, cash and mobile wallets, paying was completely hassle free",positive,en,booking
"court ki flooring ghutno pe narm thi lambe match ke baad bhi thakan kam thi",positive,ru,ground
"the owner personally checked everything was set before our slot, rare these days",positive,en,owner
"barish mein slot cancel kiya to poore paise foran wapas kar diye",positive,mixed,refund
"maine subah saat baje ka slot liya waqt pe khula mila sab kuch ready tha",positive,ru,booking
"the whole booking to playing experience was smooth, would recommend to anyone",positive,en,overall
"ground bara aur khula tha gyara a side aaraam se khel liye",positive,mixed,ground
"washroom itna saaf tha ke ghar jaisa laga bilkul shikayat nahi",positive,ru,facilities
"they even had a shaded warm up area beside the main court, thoughtful setup",positive,en,facilities
"net ki tension bilkul theek thi cricket practice ka poora faida hua",positive,mixed,facilities
"raat ko wapas jaate hue parking itni roshan thi ke koi fikar nahi hui",positive,ru,facilities
"the reminder texts meant we never once missed or scrambled for a slot",positive,en,booking
"owner ne pehli baar aane pe poori jagah ghuma ke dikhayi acha laga",positive,mixed,owner
"pitch geeli hone ke bawajood staff ne foran roller pher ke khelne layak bana diya",positive,ru,ground
"the futsal lights were even across the whole pitch, no dark corners anywhere",positive,en,lights
"slot khatam hone se pehle staff ne politely yaad dilaya koi jhagra nahi hua",neutral,mixed,staff
"aap apna ball la sakte ho ya wahan se rent pe le lo dono chalta hai",neutral,ru,facilities
"the ground is popular so weekends book out days in advance",neutral,en,booking
"court theek tha lekin thoda purana hai naye jaisi baat nahi",neutral,mixed,ground
"they allow shoe changes at the entrance, turf shoes only inside",neutral,en,facilities
"raat aur din ka rate alag hai board pe saaf likha hua hai",neutral,ru,price
"the badminton nets are fine, height is standard, nothing to complain about",neutral,en,ground
"jagah kaam ki hai practice ke liye match ke liye thodi chhoti",neutral,mixed,overall
"pani milta hai canteen se alag se kharidna parta hai",neutral,ru,facilities
"the app is basic but it does confirm the slot reliably enough",neutral,en,booking
"lights hain magar aik do bulb kabhi kabhi kaam nahi karte",neutral,mixed,lights
"parking sadak pe hi karni parti hai andar jagah nahi hai",neutral,ru,facilities
