text,label,lang,aspect
"sab kuch perfect tha booking se le kar khelne tak",positive,ru,overall
"sab ko recommend karunga ye ground bohat acha hai",positive,ru,overall
"har minute ka maza aaya yehi dhundh rahe the hum",positive,ru,overall
"Islamabad ki best sports venue hai ye baat khatam",positive,ru,overall
"ground quality was amazing, freshly maintained turf tha",positive,mixed,ground
"best pitch thi city mein, smooth aur consistent bounce",positive,mixed,ground
"futsal surface premium thi, great grip and koi burns nahi",positive,mixed,ground
"ground spacious tha full 11 aside easily accommodate ho gaya",positive,mixed,ground
"nets brand new the and properly set up for practice",positive,mixed,ground
"football pitch immaculate tha, proper markings aur flat surface",positive,mixed,ground
"turf pe khel ke professional feel aayi bohat maza aaya",positive,mixed,ground
"ground maintenance top notch hai, clearly care karte hain ye log",positive,mixed,ground
"outfield clean aur fast tha, fielding ka maza aaya",positive,mixed,ground
"best futsal turf hai ye Islamabad mein hands down",positive,mixed,ground
"washrooms clean the with proper soap aur towels, impressive",positive,mixed,facilities
"parking space ample tha, 20 cars easily aa gayin",positive,mixed,facilities
"changing rooms spacious the with lockers aur mirrors",positive,mixed,facilities
"cold water dispenser tha, garmi mein bohat kaam aaya",positive,mixed,facilities
"first aid kit available tha and staff knew how to use it",positive,mixed,facilities
"spectators ke liye comfortable seating area thi with shade",positive,mixed,facilities
"booking instant thi through the app, loved the convenience",positive,mixed,booking
"immediate confirmation mili aur slot se pehle reminder bhi aaya",positive,mixed,booking
"cancellation hassle free thi, refund 24 hours mein aa gaya",positive,mixed,booking
"slot exactly time pe ready tha, very professional approach",positive,mixed,booking
"booking system smooth hai, never had any issues with it",positive,mixed,booking
"great value for money, quality ground at reasonable price tha",positive,mixed,price
"very affordable compared to similar venues around the area",positive,mixed,price
"weekend pricing fair thi, no hidden charges bilkul nahi",positive,mixed,price
"3 hours book kiye to discount bhi de diya, nice gesture tha",positive,mixed,price
"best price to quality ratio hai in the area for sure",positive,mixed,price
"owner super friendly tha aur nets lagane mein help ki",positive,mixed,staff
"staff welcoming tha and sab ko water bottles provide ki",positive,mixed,staff
"manager ne out of his way ja ke hamare schedule accommodate kiya",positive,mixed,staff
"very responsive owner hai, minutes mein reply karta hai messages pe",positive,mixed,staff
"floodlights bright the aur evenly distributed, perfect for night games",positive,mixed,lights
"best lighting hai jo maine kisi local ground pe dekhi",positive,mixed,lights
"LED floodlights thin, no flickering, stadium level illumination thi",positive,mixed,lights
"lights powerful thin enough to see every ball clearly raat ko bhi",positive,mixed,lights
"amazing experience tha, will definitely book again",positive,mixed,overall
"top quality venue, best hai area mein without doubt",positive,mixed,overall
"everything perfect tha booking se khelne tak sab smooth",positive,mixed,overall
"highly recommend karunga ye ground sab ko",positive,mixed,overall
"loved every minute, exactly wohi mila jo dhundh rahe the",positive,mixed,overall
"excellent turf maintenance is what sets this place apart",positive,en,ground
"finally found a ground with proper boundary ropes and markings",positive,en,ground
"futsal turf ka grip aur bounce dono perfect the",positive,mixed,ground
"cricket ki pitch pe aisi batting ki jo kabhi nahi ki thi, zabardast bounce",positive,mixed,ground
"ye ground bilkul professional level ka hai, har cheez proper hai",positive,ru,ground
"ghaas itni achi thi pitch pe ke ball aaram se aati thi",positive,ru,ground
"parking mein attendant tha jo gaari lagwata tha, bohot acha system",positive,ru,facilities
"spectators ke liye ac wala covered area tha, families bhi layi ja sakti hain",positive,mixed,facilities
"they even had a proper scoreboard at the ground impressive",positive,en,facilities
"showers bhi the changing room mein, premium feel tha poora",positive,ru,facilities
"booking ke baad ek detailed SMS aaya with directions aur rules, loved it",positive,mixed,booking
"refund bilkul same day aa gaya no questions asked",positive,ru,booking
"early bird discount mila 20 percent off, best deal ever",positive,en,price
"group booking pe extra discount bhi mil gaya bohot khush hue",positive,mixed,price
"itni quality pe itna rate milna almost impossible hai kahin aur",positive,ru,price
"owner personally aake welcome kiya aur chai pilai, hospitality at its best",positive,mixed,staff
"caretaker ne match ke doran boundary line dubara mark ki jab fade ho gayi, wow",positive,mixed,staff
"staff ne injury ke waqt first aid kiya aur hospital bhi le gaye, respect",positive,ru,staff
"LED lights thin jo automatically intensity adjust karti thin sunset ke sath",positive,mixed,lights
"lights itni zabardast thin ke raat mein bhi din jaisa lag raha tha",positive,ru,lights
"ground itna ganda tha ke match cancel karna pada",negative,ru,ground
"pitch ki condition aisi thi ke kisi ko chot lag sakti thi",negative,ru,ground
"bilkul bekar jagah hai, koi maintain nahi karta",negative,ru,ground
"cricket pitch pe se ball achanak uchal rahi thi, khatarnaak tha",negative,ru,ground
"futsal turf pe jagah jagah se grass ukhar rahi thi",negative,ru,ground
"parking area mein itna andhera tha ke gaari lagana azab tha",negative,ru,facilities
"washroom se badbu aa rahi thi saaf nahi kiya tha inho ne",negative,ru,facilities
"pani khatam tha wahan, garmi mein bohot masla hua",negative,ru,facilities
"baithne ke liye ek kursi tak nahi thi bura haal tha",negative,ru,facilities
"changing room lock tha, staff bhi gayab tha",negative,ru,facilities
"booking cancel kardi aur pehle se inform bhi nahi kiya",negative,ru,booking
"time book hone ke bawajood wahan kisi aur ki team khel rahi thi",negative,ru,booking
"booking amount wapas aane mein ek hafta lag gaya",negative,ru,booking
"owner ne kaha slot booked hai jabke app pe khali dikha raha tha",negative,ru,booking
"paise advance le liye the lekin ground pe ja ke masla kiya",negative,ru,booking
"qeemat itni zyada rakhi hui hai ground kachre ka dher hai",negative,ru,price
"3000 ka slot bol ke 4000 le liye wahan ja ke",negative,ru,price
"rate theek tha lekin quality dekhte hue mehnga laga",negative,ru,price
"weekend charge ke naam pe bohot fraud karte hain ye log",negative,ru,price
"price kam hone chahiye thi is kharab ground ke liye",negative,ru,price
"staff ka rawaiya nihayat hi bura tha, badtameezi ki unhone",negative,ru,staff
"owner ko tameez hi nahi thi customers se baat karne ki",negative,ru,staff
"manager complaint sun'ne ke bajaye behes karne lag gaya",negative,ru,staff
"caretaker ne pani mangne par saf mana kardiya",negative,ru,staff
"lights on karne ka bolo to owner ne kahan time over ho gaya",negative,ru,staff
"lights kharab thi aadhi band thi, nazar kuch nahi aa raha tha",negative,ru,lights
"floodlights dheemi thi aur ek side pe andhera tha",negative,ru,lights
"match ke bech mein lights chali gayin, koi generator nahi tha",negative,ru,lights
