text,label,lang
The owner offered a replacement slot,positive,en
The turf was clean and comfortable,positive,en
The price felt fair,positive,en
QR check-in took seconds,positive,en
The changing room was spotless,positive,en
Parking was easy to find,positive,en
The booking was confirmed instantly at futsal arena,positive,en
The football pitch was smooth at cricket nets,positive,en
Bright floodlights made play enjoyable at city turf,positive,en
Staff handled our group with care at north ground,positive,en
The owner offered a replacement slot at stadium court,positive,en
