text,label,lang,aspect
"Ground was rock hard, felt every fall",negative,en,ground
"staff ne welcome drink tak offer ki, unexpected",positive,mixed,staff
"price list saaf likhi hui thi entrance pe",neutral,mixed,price
"The floodlights are honestly the best part of this place",positive,en,lights
"maidan mein ghaas patchy thi kahin ghani kahin gunji",negative,ru,ground
"booking app pe slot real time update ho raha tha, accha system",positive,mixed,booking
"owner rude tha lekin ground acha tha, mila jula",neutral,mixed,owner
"Location is a nightmare to find, GPS took me the wrong way",negative,en,location
"lights kaafi thin par heat bhi kar rahi thin",neutral,mixed,lights
"refund turant process hua, koi jhanjhat nahi",positive,ru,refund
"The staff double booked us and blamed the app",negative,en,staff
"price weekend pe barh jata hai lekin ground worth it hai",neutral,mixed,price
"ground ki halat achi thi, dobara aane ka mann hai",positive,mixed,ground
"owner ne extra time diya bina paise ke, bara dil",positive,ru,owner
"Booking screen kept loading, gave up and called instead",negative,en,booking
"washroom ki safai pe dhyan dena chahiye unhe",negative,mixed,facilities
"It's a plain ground, does the job for practice",neutral,en,overall
"lights toh full thin par ek pole dead tha",neutral,mixed,lights
"paise wasool ground tha, har cheez top class",positive,ru,overall
"The refund process was smooth and quick, well done",positive,en,refund
"maidan chhota tha lekin ghaas achi thi",neutral,mixed,ground
"owner bilkul cooperate nahi kar raha tha timing pe",negative,ru,owner
"Parking was ample and well lit, felt safe leaving the car",positive,en,facilities
"slot ka time galat bata diya staff ne",negative,mixed,staff
"price thoda high hai magar facilities us level ki hain",neutral,mixed,price
"lights raat ko itni achi thin ke practice ka maza aaya",positive,mixed,lights
"The turf near midfield had a bald patch, otherwise fine",neutral,en,ground
"booking asaani se ho gayi par confirmation late aaya",neutral,mixed,booking
"owner ne bohat garmi dikhai chhoti si baat pe",negative,ru,owner
"Great spot, clean facilities and bright lights all around",positive,en,overall
"ground par pani khara tha do teen jagah",negative,mixed,ground
"staff cooperative tha, har sawal ka jawab diya",positive,mixed,staff
"The price jumped at checkout, not what was advertised",negative,en,price
"location dhundne mein aasani hui, sab ko pata hai yahan ka",positive,mixed,location
"refund adha kaat ke diya bina batae kyun",negative,ru,refund
"Overall an average experience, might try another ground next time",neutral,en,overall
"lights achi thin lekin thodi der se on hui",neutral,mixed,lights
"maidan ekdum saaf aur samtal tha, khelne mein maza aaya",positive,ru,ground
