text,label,lang,aspect
"The cricket nets were too loose to stop hard shots",negative,en,facilities
"The gym was so crowded that we could not finish the planned routine",negative,en,overall
"The venue never answered our request for an accessible entrance",negative,en,location
"The lights were not strong enough for a safe late-night match",negative,en,lights
"The advertised refund was not paid within the promised working days",negative,en,refund
"The staff blamed us for a booking error they had made",negative,en,staff
"The futsal surface became dangerously slick under the leaking roof",negative,en,ground
"The fee was not transparent because taxes appeared only at payment",negative,en,price
"The pool showers stopped working before our session ended",negative,en,facilities
"The snooker table was never levelled despite repeated requests",negative,en,ground
"Our team waited outside because the owner had locked the entrance",negative,en,owner
"The venue was not suitable for a serious badminton match",negative,en,overall
"The confirmation message never included the address or court number",negative,en,booking
"The car park was full and nobody suggested a safe alternative",negative,en,location
"The lights made it impossible to track a high tennis serve",negative,en,lights
"The facilities looked neglected and several taps had no water",negative,en,facilities
"We were not offered any compensation for the shortened session",negative,en,refund
"The overall experience left our visiting team unwilling to return",negative,en,overall
"The venue never confirmed whether our reserved court was actually available",negative,en,booking
