template_id,intent,lang,pattern,phenomena
find_venue-ru-02,find_venue,ru,{area} ke {sport} {venue_word} dikhao {polite},imperative
find_venue-ru-03,find_venue,ru,{city} me {sport} kahan khel sakte hain {polite},question
find_venue-ru-04,find_venue,ru,koi {sport} {venue_word} chahiye {area} me jo {budget} ho,multi_slot;run_on
find_venue-ru-05,find_venue,ru,{time} ke liye koi {sport} {venue_word} bata do {polite},imperative;multi_slot;boundary
find_venue-ru-06,find_venue,ru,{amenity} wala {sport} {venue_word} chahiye {city} me,multi_slot
find_venue-ru-07,find_venue,ru,{opener} {area} ke aas paas koi acha {sport} {venue_word} nai hai kya,negation;question
greeting-en-01,greeting,en,good morning,plain;short
greeting-en-02,greeting,en,hello how are you,question
greeting-en-03,greeting,en,whats up,slang;question;short
greeting-en-04,greeting,en,thanks a lot,plain;short
greeting-en-05,greeting,en,thank you so much for the help,politeness
greeting-en-06,greeting,en,thx,sms_speak;short
greeting-en-07,greeting,en,ok got it,short
greeting-en-08,greeting,en,alright that makes sense,plain
greeting-en-09,greeting,en,ok bye then,short
greeting-mix-01,greeting,mix,"hello ji, sab khairiyat",code_switch;question;short
greeting-mix-02,greeting,mix,"{opener} thanks a lot, bohat madad hui",code_switch;politeness
greeting-mix-03,greeting,mix,ok samajh gaya thanks,code_switch;short
greeting-mix-04,greeting,mix,"salam, hope you are doing well",code_switch;politeness
greeting-mix-05,greeting,mix,chalo bye phir,code_switch;short
greeting-mix-06,greeting,mix,"bohat shukriya, really appreciate it",code_switch;politeness
greeting-ru-01,greeting,ru,salam {polite},plain;short
greeting-ru-02,greeting,ru,aoa,sms_speak;short
greeting-ru-03,greeting,ru,walaikum assalam,plain;short
greeting-ru-04,greeting,ru,{opener} kya haal hai,question;short
greeting-ru-05,greeting,ru,shukriya {polite},plain;short
greeting-ru-06,greeting,ru,bohat shukriya itni madad ke liye,politeness
greeting-ru-07,greeting,ru,jazakallah khair,plain;short
greeting-ru-08,greeting,ru,theek hai samajh gaya,plain;short
greeting-ru-09,greeting,ru,acha chalo phir baad me baat karte hain,plain
greeting-ru-10,greeting,ru,allah hafiz,plain;short
greeting-ru-11,greeting,ru,{opener} bas salam karne ke liye msg kia tha,plain;sms_speak
my_bookings-en-01,my_bookings,en,show my bookings {polite},plain;imperative;short
my_bookings-en-02,my_bookings,en,what have i got booked for {date},question;plain
my_bookings-en-03,my_bookings,en,do i have a {sport} booking coming up {polite},question;plain
my_bookings-en-04,my_bookings,en,when is my next booking,question;short
my_bookings-en-05,my_bookings,en,{opener} i want to see my booking history,plain
my_bookings-en-06,my_bookings,en,my upcoming bookings {polite},ellipsis;short
my_bookings-en-07,my_bookings,en,how many slots have i booked for {date},question;numeric
my_bookings-en-08,my_bookings,en,{opener} where am i playing next,indirect;question
my_bookings-mix-01,my_bookings,mix,meri upcoming bookings dikha do,code_switch;imperative;short
my_bookings-mix-02,my_bookings,mix,{date} mera {sport} ka slot confirm hai kya,code_switch;question;multi_slot
my_bookings-mix-03,my_bookings,mix,{opener} booking history kahan se milegi,code_switch;question
my_bookings-mix-04,my_bookings,mix,kitni bookings pending hain meri,code_switch;numeric;question
my_bookings-mix-05,my_bookings,mix,{date} wali reservation ka time kya tha,code_switch;question
my_bookings-ru-01,my_bookings,ru,meri bookings dikhao {polite},imperative;short
my_bookings-ru-02,my_bookings,ru,{date} meri booking kis time ki hai,question;plain
my_bookings-ru-03,my_bookings,ru,koi booking hai meri ya nahi,question;negation;short
my_bookings-ru-04,my_bookings,ru,agli booking kab hai meri,question;short
my_bookings-ru-05,my_bookings,ru,apni saari bookings dekhni hain {polite},plain
my_bookings-ru-06,my_bookings,ru,meri booking list {polite},ellipsis;short
my_bookings-ru-07,my_bookings,ru,mera {sport} ka koi slot booked hai kia,question;plain
my_bookings-ru-08,my_bookings,ru,pichli bookings ki list mil jaye gi {polite},question;politeness
my_bookings-ru-09,my_bookings,ru,{opener} mujhe yaad nai mene kya kya book kiya tha,indirect;slang
out_of_scope-en-01,out_of_scope,en,order me a large pizza,imperative;plain
out_of_scope-en-02,out_of_scope,en,whats the weather forecast for Islamabad,question
out_of_scope-en-03,out_of_scope,en,book me a cab to the airport,imperative;boundary
out_of_scope-en-04,out_of_scope,en,how do i recharge my mobile balance,question;boundary
out_of_scope-en-05,out_of_scope,en,whats the live score of the cricket match,question;boundary
out_of_scope-en-06,out_of_scope,en,when is the psl final happening,question;boundary
out_of_scope-en-07,out_of_scope,en,is babar azam playing in the next series,question;boundary
out_of_scope-en-08,out_of_scope,en,should i invest in bitcoin right now,question
out_of_scope-en-09,out_of_scope,en,i have a bad headache what medicine should i take,question
out_of_scope-en-10,out_of_scope,en,how much does a flight to dubai cost,question
out_of_scope-en-11,out_of_scope,en,who is the president of pakistan,question
out_of_scope-en-12,out_of_scope,en,are you a real human or just a bot,question
out_of_scope-mix-01,out_of_scope,mix,cricket match kis channel pe aa raha hai,question;boundary;code_switch
out_of_scope-mix-02,out_of_scope,mix,{opener} world cup ka schedule bhej do,imperative;boundary;code_switch
out_of_scope-mix-03,out_of_scope,mix,murree me koi hotel book karwa do,imperative;boundary;code_switch
out_of_scope-mix-04,out_of_scope,mix,stock market me invest kaise karte hain,question;code_switch
out_of_scope-mix-05,out_of_scope,mix,board ka result online kab aayega,question;code_switch
out_of_scope-mix-06,out_of_scope,mix,netflix pe koi acha movie suggest karo,imperative;code_switch
out_of_scope-ru-01,out_of_scope,ru,islamabad me barish hogi ya nahi,question;negation
out_of_scope-ru-02,out_of_scope,ru,yahan koi acha burger wala hai,question;boundary
out_of_scope-ru-03,out_of_scope,ru,bijli ka bill online kaise jama karun,question;boundary
out_of_scope-ru-04,out_of_scope,ru,cinema ki ticket book karni hai {polite},imperative;boundary
out_of_scope-ru-05,out_of_scope,ru,meri physics ki assignment kar do,imperative
out_of_scope-ru-06,out_of_scope,ru,cricket ka score kya hua,question;boundary;short
out_of_scope-ru-07,out_of_scope,ru,psl ke tickets kahan se milte hain,question;boundary
out_of_scope-ru-08,out_of_scope,ru,qaumi team me kon kon khel raha hai is dafa,question;boundary
out_of_scope-ru-09,out_of_scope,ru,pakistan ki icc ranking kya hai,question;boundary
out_of_scope-ru-10,out_of_scope,ru,koi mazedar joke sunao {polite},imperative
out_of_scope-ru-11,out_of_scope,ru,"tum kaun ho, insan ho ya robot",question
out_of_scope-ru-12,out_of_scope,ru,aaj dollar ka rate kya hai,question
refund_policy-en-01,refund_policy,en,what is the cancellation policy for {venue},plain;question
refund_policy-en-02,refund_policy,en,if i cancel less than 24 hours before the slot how much comes back,numeric;boundary;question
refund_policy-en-03,refund_policy,en,how much deposit do i pay upfront to hold a slot,numeric;question
refund_policy-en-04,refund_policy,en,does my money sit in escrow until the QR check in?,plain;question
refund_policy-en-05,refund_policy,en,what happens if nobody shows up for the booking,negation;question
refund_policy-en-06,refund_policy,en,who keeps the 20 percent on a late cancellation {polite},numeric;question
refund_policy-en-07,refund_policy,en,refund rules for late cancellation,ellipsis;short
refund_policy-en-08,refund_policy,en,"not cancelling anything yet, i just want to know the refund rules first",boundary;negation
refund_policy-mix-01,refund_policy,mix,cancellation window kitne hours ka hai,code_switch;numeric;short
refund_policy-mix-02,refund_policy,mix,"no show ki case me kya hota hai, slot ke baad kitna wait karte hain",code_switch;run_on;question
refund_policy-mix-03,refund_policy,mix,full refund ke liye kitna pehle cancel karna parta hai {polite},code_switch;question
refund_policy-mix-04,refund_policy,mix,deposit non refundable hai kya {venue} pe,code_switch;question
refund_policy-ru-01,refund_policy,ru,{date} cancel karun to paise wapas milenge ya nahi,negation;question
refund_policy-ru-02,refund_policy,ru,booking cancel karne ka rule kya hai {polite},boundary;question
refund_policy-ru-03,refund_policy,ru,24 ghante se kam bacha ho to kitna refund milta hai,numeric;question
refund_policy-ru-04,refund_policy,ru,advance kitna dena parta hai booking pakki karne ke liye,numeric;question
refund_policy-ru-05,refund_policy,ru,"agar hum na pohanche to kya hoga, paise doob jayenge",negation;slang;run_on
refund_policy-ru-06,refund_policy,ru,paise QR scan hone tak escrow me hi rehte hain kya,plain;question
refund_policy-ru-07,refund_policy,ru,{opener} refund ki policy zara samjha do,imperative;politeness
refund_policy-ru-08,refund_policy,ru,"sunna hai late cancel pe 20 percent owner ko chala jata hai, aisa hi hai",numeric;run_on;question
team_stats-en-01,team_stats,en,what is {team} elo rating right now,question
team_stats-en-02,team_stats,en,where does {team} stand in the rankings {polite},question;politeness
team_stats-en-03,team_stats,en,how many matches has {team} won and lost so far,question;numeric
team_stats-en-04,team_stats,en,show me the elo history for {team},imperative
team_stats-en-05,team_stats,en,did {team} rating go up after the last match,question
team_stats-en-06,team_stats,en,{team} rating {polite},short;ellipsis
team_stats-en-07,team_stats,en,i want to check the win loss record for {team} in {sport},multi_slot
team_stats-en-08,team_stats,en,{team} is still showing unranked even though we played,indirect
team_stats-mix-01,team_stats,mix,{team} ka overall record kya hai {sport} me,code_switch;multi_slot
team_stats-mix-02,team_stats,mix,leaderboard pe {team} kis number pe hai,code_switch;question
team_stats-mix-03,team_stats,mix,{team} ki last {count} matches ki performance dikhao,code_switch;imperative;multi_slot
team_stats-mix-04,team_stats,mix,kitne elo points hain {team} ke paas {polite},code_switch;numeric
team_stats-mix-05,team_stats,mix,{team} ne kitne matches draw kiye hain ab tak,code_switch;numeric;question
team_stats-ru-01,team_stats,ru,{team} ki rating kitni hai,question
team_stats-ru-02,team_stats,ru,{team} ka rank kya hai poore app pe,question
team_stats-ru-03,team_stats,ru,{count} match ke baad kitne points bane hain,numeric;question
team_stats-ru-04,team_stats,ru,{team} ki elo history dikhao {polite},imperative;politeness
team_stats-ru-05,team_stats,ru,{opener} kitne match jeete aur kitne haare hum,question;numeric
team_stats-ru-06,team_stats,ru,{team} ki ranking check karni hai,plain
team_stats-ru-07,team_stats,ru,pichle match ke baad rating barhi ya nahi {polite},question;negation
team_stats-ru-08,team_stats,ru,{team} ka elo {polite},short;ellipsis
team_stats-ru-09,team_stats,ru,{team} abhi tak unranked kyun hai,question;indirect
topup_help-en-01,topup_help,en,how do i add money to my wallet,question;plain
topup_help-en-02,topup_help,en,what payment methods do you accept {polite},question;plain
topup_help-en-03,topup_help,en,can i top up with easypaisa,question;short
topup_help-en-04,topup_help,en,{opener} walk me through withdrawing my balance,imperative;plain
topup_help-en-05,topup_help,en,is there a minimum amount for a top up,question;numeric
topup_help-en-06,topup_help,en,steps to load funds {polite},ellipsis;short
topup_help-en-07,topup_help,en,i need to link my card {polite},plain
topup_help-en-08,topup_help,en,why is my jazzcash top up not going through {polite},question;negation
topup_help-mix-01,topup_help,mix,payment method change kaise karun {polite},code_switch;question
topup_help-mix-02,topup_help,mix,minimum top up amount kitna hai,code_switch;numeric;boundary
topup_help-mix-03,topup_help,mix,{opener} withdrawal ka process batao,code_switch;imperative
topup_help-mix-04,topup_help,mix,debit card add karne ka option kahan hai app mein,code_switch;question
topup_help-mix-05,topup_help,mix,wallet recharge ke liye kya kya options hain,code_switch;question
topup_help-ru-01,topup_help,ru,paise kaise add karun {polite},question;short
topup_help-ru-02,topup_help,ru,wallet mein paise dalne ka tareeqa kya hai,question;plain
topup_help-ru-03,topup_help,ru,easypaisa se top up ho jata hai kya,question;plain
topup_help-ru-04,topup_help,ru,{opener} paise nikalne hain kaise nikalunga,run_on;question
topup_help-ru-05,topup_help,ru,kam se kam kitne paise dalne parte hain,question;numeric
topup_help-ru-06,topup_help,ru,jazzcash ka option kahan hai {polite},question;short
topup_help-ru-07,topup_help,ru,paise dalne ke baad kitni dair lagti hai,question;plain
topup_help-ru-08,topup_help,ru,wallet se bank mein paise transfer kaise karte hain,question;plain
topup_help-ru-09,topup_help,ru,{opener} card wala tareeqa samjha do zara,imperative;politeness
tournament_list-en-01,tournament_list,en,any {sport} tournaments on sportlynk {date},plain;question
tournament_list-en-02,tournament_list,en,how do i register {team} for a tournament on the app,plain;question
tournament_list-en-03,tournament_list,en,is there any {sport} league running here right now,question;boundary
tournament_list-en-04,tournament_list,en,show me the tournaments open for registration {polite},imperative
tournament_list-en-05,tournament_list,en,what is the entry fee for the tournaments listed on sportlynk,numeric;question
tournament_list-en-06,tournament_list,en,upcoming tournaments on the app in {city},ellipsis;short
tournament_list-en-07,tournament_list,en,when does registration close for the {sport} tournament on sportlynk?,plain;question
tournament_list-mix-01,tournament_list,mix,koi {sport} tournament ka registration open hai app pe,code_switch;question
tournament_list-mix-02,tournament_list,mix,sportlynk pe knockout format ka tournament hota hai ya league,code_switch;question
tournament_list-mix-03,tournament_list,mix,app pe jo tournament hai uski last registration date kya hai,code_switch;run_on
tournament_list-mix-04,tournament_list,mix,{city} me sportlynk ka koi tournament arrange ho raha hai {date},code_switch;multi_slot
tournament_list-ru-01,tournament_list,ru,app pe koi {sport} tournament chal raha hai {polite},plain;question
tournament_list-ru-02,tournament_list,ru,sportlynk pe tournament kab shuru hoga,plain;question
tournament_list-ru-03,tournament_list,ru,{team} ko app ke tournament me register kaise karain,plain;question
tournament_list-ru-04,tournament_list,ru,yahan koi {sport} league hai jisme hissa le sakein,question;boundary
tournament_list-ru-05,tournament_list,ru,{opener} tournament kab hai,short;ellipsis
tournament_list-ru-06,tournament_list,ru,{opener} app pe tournaments ki list dikha do,imperative
tournament_list-ru-07,tournament_list,ru,"registration fee kitni hai tournament ki, app pe likha nahi hai",numeric;negation;run_on
venue_info-en-01,venue_info,en,does it have {amenity} {polite},plain;question;short
venue_info-en-02,venue_info,en,how much is {venue} for {duration},plain;numeric;question
venue_info-en-03,venue_info,en,what time does {venue} open and close?,plain;question
venue_info-en-04,venue_info,en,tell me more about {venue} {polite},imperative;politeness
venue_info-en-05,venue_info,en,is {venue} turf or grass,plain;question
venue_info-en-06,venue_info,en,any reviews for {venue},ellipsis;short;question
venue_info-en-07,venue_info,en,{amenity} at {venue},ellipsis;short
venue_info-en-08,venue_info,en,i want to check the facilities at {venue} before booking anything,boundary;plain
venue_info-mix-01,venue_info,mix,{venue} me {amenity} available hai kya,code_switch;question
venue_info-mix-02,venue_info,mix,{venue} ka per hour price kitna hai {polite},code_switch;numeric
venue_info-mix-03,venue_info,mix,{venue} ki overall rating kaisi hai,code_switch;question;short
venue_info-mix-04,venue_info,mix,opening aur closing time batao {venue} ka,code_switch;imperative
venue_info-ru-01,venue_info,ru,{venue} me {amenity} hai ya nahi,question;negation
venue_info-ru-02,venue_info,ru,us {venue_word} ka rate kya hai {polite},numeric;question
venue_info-ru-03,venue_info,ru,{venue} kitne baje khulta hai,plain;question
venue_info-ru-04,venue_info,ru,{opener} us {venue_word} me {amenity} to hai na,slang;question;short
venue_info-ru-05,venue_info,ru,{venue} ke bare me thora bata do {polite},imperative;politeness
venue_info-ru-06,venue_info,ru,wo {venue_word} indoor he ya khula,question;plain
venue_info-ru-07,venue_info,ru,{venue} ki timing,ellipsis;short
venue_info-ru-08,venue_info,ru,mujhe {venue} ki rating aur {amenity} ke bare me pata karna hai,multi_slot;plain
wallet_balance-en-01,wallet_balance,en,how much is in my wallet {polite},question;plain
wallet_balance-en-02,wallet_balance,en,check my balance {polite},imperative;short
wallet_balance-en-03,wallet_balance,en,do i have enough balance for a booking,question;boundary
wallet_balance-en-04,wallet_balance,en,show my escrow amount {polite},imperative;plain
wallet_balance-en-05,wallet_balance,en,{opener} is any of my money on hold right now,question;plain
wallet_balance-en-06,wallet_balance,en,wallet balance {polite},ellipsis;short
wallet_balance-en-07,wallet_balance,en,i want to know how much credit is left in my account,plain
wallet_balance-en-08,wallet_balance,en,how much of my money is frozen right now,question;numeric
wallet_balance-mix-01,wallet_balance,mix,escrow amount kitna hai mera {polite},code_switch;question
wallet_balance-mix-02,wallet_balance,mix,kitna amount on hold hai abhi {polite},code_switch;question
wallet_balance-mix-03,wallet_balance,mix,{opener} wallet ka current balance check karna hai,code_switch;plain
wallet_balance-mix-04,wallet_balance,mix,pending payments ke baad kitna left hai,code_switch;question
wallet_balance-mix-05,wallet_balance,mix,total credit kitna show ho raha hai app pe,code_switch;question
wallet_balance-ru-01,wallet_balance,ru,balance kitna hai {polite},question;short
wallet_balance-ru-02,wallet_balance,ru,apna balance dekhna hai {polite},plain
wallet_balance-ru-03,wallet_balance,ru,{opener} zara bata do wallet mein kya bacha hai,imperative;politeness
wallet_balance-ru-04,wallet_balance,ru,mere kitne paise rok kar rakhe hain,question;plain
wallet_balance-ru-05,wallet_balance,ru,booking ke liye paise poore hain ya nahi,question;negation;boundary
wallet_balance-ru-06,wallet_balance,ru,balance zero ho gaya kya mera,question;slang
wallet_balance-ru-07,wallet_balance,ru,mere paise kahan gaye kuch bacha bhi hai,run_on;indirect
wallet_balance-ru-08,wallet_balance,ru,{opener} account mein paise hain ya khali hai,question;negation
wallet_balance-ru-09,wallet_balance,ru,pichli booking ke baad kitna bacha hai,question;plain
greeting-en-10,greeting,en,{opener} thanks for the help,politeness;plain
greeting-en-11,greeting,en,{opener} much appreciated,politeness;short
greeting-en-12,greeting,en,{opener} anyone there,question;short
greeting-en-13,greeting,en,{opener} thanks again,politeness;short
greeting-en-14,greeting,en,{opener} that was quick thanks,politeness;plain
greeting-en-15,greeting,en,{opener} you are a lifesaver,politeness;slang
greeting-en-16,greeting,en,hii,short;sms_speak
greeting-en-17,greeting,en,hey there,short;plain
greeting-en-18,greeting,en,good afternoon,short;plain
greeting-en-19,greeting,en,good evening,short;plain
greeting-en-20,greeting,en,gm!,short;sms_speak
greeting-en-21,greeting,en,gn!,short;sms_speak
greeting-en-22,greeting,en,yo!,short;slang
greeting-en-23,greeting,en,sup,short;slang
greeting-en-24,greeting,en,how are you doing,question;plain
greeting-en-25,greeting,en,ok thanks,short;politeness
greeting-en-26,greeting,en,okay thank you,short;politeness
greeting-en-27,greeting,en,got it thanks,short;politeness
greeting-en-28,greeting,en,understood thanks,short;politeness
greeting-en-29,greeting,en,alright thanks,short;politeness
greeting-en-30,greeting,en,cool thanks,short;slang;politeness
greeting-en-31,greeting,en,perfect thanks,short;politeness
greeting-en-32,greeting,en,awesome thanks,short;slang;politeness
greeting-en-33,greeting,en,thank you very much,politeness;plain
greeting-en-34,greeting,en,tysm,short;sms_speak;politeness
greeting-en-35,greeting,en,cheers mate,short;slang;politeness
greeting-en-36,greeting,en,thanks bro,short;slang;politeness
greeting-en-37,greeting,en,thats all thanks,politeness;ellipsis
